uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"13180c9c-51fd-4911-b65f-dd4fb33a0189","GUAN_004.basePlot.vst","2018-01-08","D04","GUAN","GUAN_004","distributed","evergreenForest",17.969254,-66.852670,"WGS84",20.1,727404.74,1988099.02,"19N",131.1,0.1,"vst_GUAN_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","N",,,,,,,"10","noneSelected",400,80,400,"schedule irregularity, 2017 bout 2","wplaza-muniz@battelleecology.org","ajimenez@battelleecology.org",
"c55d1743-806b-4f4e-97c5-695f71b9933d","GUAN_013.basePlot.vst","2018-01-10","D04","GUAN","GUAN_013","distributed","evergreenForest",17.963662,-66.837731,"WGS84",20.1,728994.62,1987498.36,"19N",59.7,0.1,"vst_GUAN_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vE","N",,,,,,,"10","noneSelected",400,80,400,"schedule irregularity, 2017 bout 2","wplaza-muniz@battelleecology.org","ajimenez@battelleecology.org",
"17b6ec65-641d-4be3-a1c6-6d16a7b582ff","GUAN_017.basePlot.vst","2018-01-11","D04","GUAN","GUAN_017","distributed","evergreenForest",17.965519,-66.835162,"WGS84",20.1,729264.40,1987707.10,"19N",73.1,0.1,"vst_GUAN_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","N",,,,,,,"10","noneSelected",400,80,400,"schedule irregularity, 2017 bout 2","wplaza-muniz@battelleecology.org","ajimenez@battelleecology.org",
"07018894-a124-4a24-b580-ad2c618887a6","GUAN_001.basePlot.vst","2018-01-15","D04","GUAN","GUAN_001","distributed","evergreenForest",17.972768,-66.851235,"WGS84",20.1,727552.26,1988489.77,"19N",149.5,0.1,"vst_GUAN_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","N",,,,,,,"10","noneSelected",400,80,400,"schedule irregularity, 2017 bout 2","wplaza-muniz@battelleecology.org","tvelazquez-rojas@battelleecology.org",
"63486371-ede9-4779-b624-597301dfcf6b","GUAN_008.basePlot.vst","2018-01-17","D04","GUAN","GUAN_008","distributed","evergreenForest",17.965762,-66.832036,"WGS84",20.1,729595.27,1987737.86,"19N",63.5,0.1,"vst_GUAN_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","N",,,,,,,"10","noneSelected",400,80,400,"schedule irregularity, 2017 bout 2","wplaza-muniz@battelleecology.org","amegill@battelleecology.org",
"8a187ed2-9192-4802-9ddf-1cce34ba271e","GUAN_002.basePlot.vst","2018-01-19","D04","GUAN","GUAN_002","distributed","evergreenForest",17.970294,-66.824633,"WGS84",20.1,730373.70,1988248.73,"19N",86.6,0.1,"vst_GUAN_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","N",,,,,,,"10","noneSelected",400,80,400,"schedule irregularity, 2017 bout 2","wplaza-muniz@battelleecology.org","amegill@battelleecology.org",
"76444983-276e-4b9d-8cc4-c39c2f771092","GUAN_007.basePlot.vst","2018-01-22","D04","GUAN","GUAN_007","distributed","evergreenForest",17.972832,-66.857711,"WGS84",20.1,726866.12,1988488.93,"19N",172.4,0.2,"vst_GUAN_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","N",,,,,,,"10","noneSelected",400,80,400,"schedule irregularity, 2017 bout 2","wplaza-muniz@battelleecology.org","amegill@battelleecology.org",
"9022f31a-07be-4989-b939-0140586ee171","GUAN_018.basePlot.vst","2018-01-23","D04","GUAN","GUAN_018","distributed","evergreenForest",17.971776,-66.861999,"WGS84",20.1,726413.20,1988366.79,"19N",160.5,0.2,"vst_GUAN_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","N",,,,,,,"10","25",400,80,200,"schedule irregularity, 2017 bout 2","wplaza-muniz@battelleecology.org","ajimenez@battelleecology.org",
"da89b6b2-db88-45e7-8744-6c3dd7825491","GUAN_010.basePlot.vst","2018-01-25","D04","GUAN","GUAN_010","distributed","evergreenForest",17.972442,-66.871318,"WGS84",20.1,725425.10,1988429.17,"19N",175.2,0.1,"vst_GUAN_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","N",,,,,,,"1","10",400,8,80,"schedule irregularity, 2017 bout 2","wplaza-muniz@battelleecology.org","gtavarez@battelleecology.org",
"5ed805a4-27f5-494c-aebf-a999a2b35ba9","GUAN_009.basePlot.vst","2018-01-25","D04","GUAN","GUAN_009","distributed","evergreenForest",17.979430,-66.867833,"WGS84",20.1,725785.41,1989206.97,"19N",114.1,0.1,"vst_GUAN_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","N",,,,,,,"10","10",400,80,80,"schedule irregularity, 2017 bout 2","wplaza-muniz@battelleecology.org","ajimenez@battelleecology.org",
