uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"a7279c70-7f33-4d62-b9a6-584467089887","MLBS_009.basePlot.vst","2018-06-04","D07","MLBS","MLBS_009","distributed","deciduousForest",37.374434,-80.518487,"WGS84",20.2,542632.27,4136519.61,"17N",1177.6,0.2,"vst_MLBS_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vE","Y","Y",,"Y",,"N",,"25","noneSelected",400,200,400,,"kconcklin@battelleecology.org","mcumberland@battelleecology.org",
"37b961d8-11ed-4b21-87fb-8d12826de5d7","MLBS_002.basePlot.vst","2018-06-05","D07","MLBS","MLBS_002","distributed","deciduousForest",37.372058,-80.524252,"WGS84",20.2,542123.17,4136253.43,"17N",1178.5,0.3,"vst_MLBS_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vE","Y","Y",,"Y",,"N",,"25","noneSelected",400,200,400,,"kconcklin@battelleecology.org","mcumberland@battelleecology.org",
"f4f4d558-72e4-4d15-9802-36449114b7c5","MLBS_003.basePlot.vst","2018-06-05","D07","MLBS","MLBS_003","distributed","deciduousForest",37.368528,-80.526975,"WGS84",20.2,541884.04,4135860.59,"17N",1223.1,0.3,"vst_MLBS_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vE","Y","Y",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,,"kconcklin@battelleecology.org","mcumberland@battelleecology.org",
"5d0ef574-9591-428d-ad2a-6c12d977b2ad","MLBS_010.basePlot.vst","2018-06-05","D07","MLBS","MLBS_010","distributed","deciduousForest",37.365565,-80.526343,"WGS84",20.1,541941.65,4135532.15,"17N",1237.0,0.2,"vst_MLBS_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vE","Y","Y",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,,"kconcklin@battelleecology.org","mcumberland@battelleecology.org",
"276d1a9a-7f4f-4f57-a999-1ddd32e6139d","MLBS_005.basePlot.vst","2018-06-06","D07","MLBS","MLBS_005","distributed","deciduousForest",37.363106,-80.521589,"WGS84",20.2,542363.99,4135261.47,"17N",1266.8,0.3,"vst_MLBS_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vE","Y","Y",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,,"kconcklin@battelleecology.org","mcumberland@battelleecology.org",
"70d38901-6951-40e6-bbca-dd04ecad7850","MLBS_001.basePlot.vst","2018-06-06","D07","MLBS","MLBS_001","distributed","deciduousForest",37.360700,-80.524992,"WGS84",20.2,542063.99,4134993.03,"17N",1310.9,0.2,"vst_MLBS_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vE","Y","Y",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,,"kconcklin@battelleecology.org","mcumberland@battelleecology.org",
"28107342-a75c-4f41-8b15-bef943295c5a","MLBS_007.basePlot.vst","2018-06-07","D07","MLBS","MLBS_007","distributed","deciduousForest",37.427946,-80.571837,"WGS84",20.1,537881.79,4142433.55,"17N",806.2,0.2,"vst_MLBS_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vE","Y","Y",,"Y",,"N",,"10","noneSelected",400,80,400,,"kconcklin@battelleecology.org","mcumberland@battelleecology.org",
"bde3526c-9b35-429b-b1b5-abc26b7ea79b","MLBS_004.basePlot.vst","2018-06-07","D07","MLBS","MLBS_004","distributed","deciduousForest",37.429342,-80.511896,"WGS84",20.1,543184.31,4142614.20,"17N",890.4,0.2,"vst_MLBS_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vE","Y","Y",,"N",,"N",,"10","noneSelected",400,80,400,,"kconcklin@battelleecology.org","mcumberland@battelleecology.org",
"c684ecb0-964e-4f48-ae9f-35c186e04604","MLBS_008.basePlot.vst","2018-06-07","D07","MLBS","MLBS_008","distributed","deciduousForest",37.426865,-80.499069,"WGS84",20.2,544320.63,4142345.35,"17N",939.0,0.3,"vst_MLBS_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vE","Y","Y",,"N",,"N",,"noneSelected","noneSelected",400,400,400,,"kconcklin@battelleecology.org","mcumberland@battelleecology.org",
"4ad8b746-ec8a-4702-a2de-6b877760de1a","MLBS_006.basePlot.vst","2018-06-13","D07","MLBS","MLBS_006","distributed","deciduousForest",37.426799,-80.564064,"WGS84",20.1,538570.10,4142309.46,"17N",777.0,0.2,"vst_MLBS_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vE","N",,,,,,,"noneSelected","noneSelected",400,400,400,,"kleffler@battelleecology.org","aferchaud@battelleecology.org",
