uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"c155af2a-e922-440f-9877-6ba667fd32ec","GUAN_006.basePlot.vst","2018-02-05","D04","GUAN","GUAN_006","distributed","evergreenForest",17.963818,-66.875667,"WGS84",20.1,724975.30,1987469.23,"19N",98.9,0.2,"vst_GUAN_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","N",,,,,,,"10","noneSelected",400,80,400,"schedule irregularity, 2017 bout 2","wplaza-muniz@battelleecology.org","amegill@battelleecology.org",
"9fdef0ad-3a99-4573-a105-a40169463747","GUAN_005.basePlot.vst","2018-02-06","D04","GUAN","GUAN_005","distributed","evergreenForest",17.968745,-66.880450,"WGS84",20.2,724462.35,1988008.85,"19N",161.3,0.2,"vst_GUAN_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","N",,,,,,,"10","noneSelected",400,80,400,"schedule irregularity, 2017 bout 2","wplaza-muniz@battelleecology.org","amegill@battelleecology.org",
"2405e834-70c2-4376-b29b-099d3969fccb","GUAN_019.basePlot.vst","2018-02-07","D04","GUAN","GUAN_019","distributed","evergreenForest",17.966255,-66.876783,"WGS84",20.1,724853.98,1987737.65,"19N",129.4,0.1,"vst_GUAN_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","N",,,,,,,"10","noneSelected",400,80,400,"schedule irregularity, 2017 bout 2","wplaza-muniz@battelleecology.org","tvelazquez-rojas@battelleecology.org",
"2734a277-e0bf-4f62-894c-478ffbc39260","GUAN_043.basePlot.vst","2018-02-08","D04","GUAN","GUAN_043","tower","evergreenForest",17.968869,-66.867682,"WGS84",20.1,725814.84,1988038.07,"19N",113.5,0.1,"vst_GUAN_2017",,,"39 | 41","NEON.DOC.000987vG","N",,,,,,,"10","100",800,40,400,"schedule irregularity, 2017 bout 2","wplaza-muniz@battelleecology.org","amegill@battelleecology.org",
"308076c2-1c60-4cf6-93bf-5140afd941f5","GUAN_020.basePlot.vst","2018-02-09","D04","GUAN","GUAN_020","distributed","evergreenForest",17.954237,-66.892766,"WGS84",20.1,723175.81,1986388.01,"19N",35.0,0.1,"vst_GUAN_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","N",,,,,,,"10","noneSelected",400,80,400,"schedule irregularity, 2017 bout 2","wplaza-muniz@battelleecology.org","ajimenez@battelleecology.org",
"dd727f88-96f6-4ed8-9ace-f1d4a5e9fdc6","GUAN_044.basePlot.vst","2018-02-13","D04","GUAN","GUAN_044","tower","evergreenForest",17.966738,-66.870526,"WGS84",20.1,725516.25,1987798.71,"19N",145.1,0.1,"vst_GUAN_2017",,,"23 | 39","NEON.DOC.000987vG","Y","Y",,"Y",,"Y",,"10","noneSelected",800,40,800,"schedule irregularity, 2017 bout 2","wplaza-muniz@battelleecology.org","amegill@battelleecology.org",
"3c34357d-8f93-43df-b9c2-5697ef4b3109","GUAN_014.basePlot.vst","2018-02-13","D04","GUAN","GUAN_014","distributed","evergreenForest",17.955704,-66.852256,"WGS84",20.1,727465.95,1986599.55,"19N",19.6,0.1,"vst_GUAN_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","Y","Y",,"Y",,"Y",,"10","noneSelected",400,80,400,"schedule irregularity, 2017 bout 2","wplaza-muniz@battelleecology.org","amegill@battelleecology.org",
"a3428e99-ae46-435e-b189-a05880a28fe4","GUAN_011.basePlot.vst","2018-02-14","D04","GUAN","GUAN_011","distributed","evergreenForest",17.975110,-66.867035,"WGS84",20.1,725875.45,1988729.72,"19N",198.8,0.1,"vst_GUAN_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","N",,,,,,,"10","noneSelected",400,80,400,"schedule irregularity, 2017 bout 2","wplaza-muniz@battelleecology.org","amegill@battelleecology.org",
"15435849-75bd-48e3-a43c-bd6ab0f7f23d","GUAN_046.basePlot.vst","2018-02-15","D04","GUAN","GUAN_046","tower","evergreenForest",17.971618,-66.872460,"WGS84",20.1,725305.17,1988336.57,"19N",165.6,0.1,"vst_GUAN_2017",,,"21 | 41","NEON.DOC.000987vG","Y","Y",,"Y",,"Y",,"10","100",800,40,400,"schedule irregularity, 2017 bout 2","tvelazquez-rojas@battelleecology.org","ajimenez@battelleecology.org",
"f0e4bf26-3846-4106-8480-de3ab8dd1209","GUAN_045.basePlot.vst","2018-02-16","D04","GUAN","GUAN_045","tower","evergreenForest",17.969213,-66.873904,"WGS84",20.1,725155.24,1988068.59,"19N",143.0,0.1,"vst_GUAN_2017",,,"21 | 41","NEON.DOC.000987vG","Y","Y",,"Y",,"Y",,"10","10",800,40,40,"schedule irregularity, 2017 bout 2","wplaza-muniz@battelleecology.org","amegill@battelleecology.org",
"0993baeb-bbed-439a-997b-9a2afb5e4685","GUAN_012.basePlot.vst","2018-02-19","D04","GUAN","GUAN_012","distributed","evergreenForest",17.951583,-66.899037,"WGS84",20.1,722514.74,1986086.69,"19N",14.8,0.1,"vst_GUAN_2017",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG","N",,,,,,,"10","noneSelected",400,80,400,"schedule irregularity, 2017 bout 2","wplaza-muniz@battelleecology.org","amegill@battelleecology.org",
"bd8b1837-858b-406a-9f22-47d4b0562e40","GUAN_042.basePlot.vst","2018-02-21","D04","GUAN","GUAN_042","tower","evergreenForest",17.970725,-66.863969,"WGS84",20.2,726205.84,1988248.04,"19N",144.8,0.3,"vst_GUAN_2017",,,"21 | 39","NEON.DOC.000987vG","N",,,,,,,"10","100",800,40,400,"schedule irregularity, 2017 bout 2","tvelazquez-rojas@battelleecology.org","ajimenez@battelleecology.org",
