uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"3d58f85f-eb2c-40c4-9566-c258427dc76b","MOAB_024.basePlot.vst","2018-09-05","D13","MOAB","MOAB_024","distributed","evergreenForest",38.262290,-109.344632,"WGS84",20.1,644822.46,4236213.04,"12N",2018.6,0.1,"vst_MOAB_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vH",,"Y",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,"Remapped secondary Boles on mulibole trees",,,
"81986f9b-01d1-4eb5-92f0-91575bd149b1","MOAB_003.basePlot.vst","2018-09-06","D13","MOAB","MOAB_003","distributed","evergreenForest",38.261284,-109.349483,"WGS84",20.1,644400.03,4236093.82,"12N",2006.8,0.1,"vst_MOAB_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vH",,"Y",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"c1d5c736-6f48-414a-9fea-7160e20d1099","MOAB_010.basePlot.vst","2018-09-17","D13","MOAB","MOAB_010","distributed","shrubScrub",38.255190,-109.378090,"WGS84",20.1,641908.96,4235373.31,"12N",1815.6,0.1,"vst_MOAB_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vH",,"N",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"d7fefd56-d8db-4523-9d33-28bb069091e2","MOAB_017.basePlot.vst","2018-09-17","D13","MOAB","MOAB_017","distributed","shrubScrub",38.252299,-109.384310,"WGS84",20.1,641370.31,4235042.98,"12N",1794.3,0.3,"vst_MOAB_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"N",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"3b1c6dad-ef92-476f-b3e3-769d3b8ab512","MOAB_012.basePlot.vst","2018-09-18","D13","MOAB","MOAB_012","distributed","shrubScrub",38.241794,-109.387983,"WGS84",20.1,641069.22,4233871.67,"12N",1803.1,0.1,"vst_MOAB_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vH",,"N",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"1602b1a0-970c-4227-b84b-f56fe6dc3b8d","MOAB_016.basePlot.vst","2018-09-18","D13","MOAB","MOAB_016","distributed","shrubScrub",38.206372,-109.407265,"WGS84",20.1,639449.36,4229911.79,"12N",1768.0,0.1,"vst_MOAB_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vH",,"N",,"N",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"68020f2e-2e19-4471-a28c-2d9a340eecaf","MOAB_005.basePlot.vst","2018-09-18","D13","MOAB","MOAB_005","distributed","shrubScrub",38.210930,-109.403726,"WGS84",20.1,639750.51,4230422.91,"12N",1768.1,0.1,"vst_MOAB_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vH",,"N",,"N",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"9a197e56-b6e4-4abc-8264-d1dc4ff3c3d5","MOAB_002.basePlot.vst","2018-09-18","D13","MOAB","MOAB_002","distributed","shrubScrub",38.210793,-109.414698,"WGS84",20.1,638790.13,4230391.21,"12N",1773.5,0.1,"vst_MOAB_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vH",,"N",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"6230459a-614a-4565-a3ef-7b78866f64a9","MOAB_007.basePlot.vst","2018-09-19","D13","MOAB","MOAB_007","distributed","shrubScrub",38.265495,-109.341840,"WGS84",20.1,645060.36,4236573.07,"12N",1996.4,0.1,"vst_MOAB_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"N",,"Y",,"N",,"10","noneSelected",400,80,400,,,,
"2ab2a5f2-d847-486c-9adb-b17d491cbde2","MOAB_001.basePlot.vst","2018-09-19","D13","MOAB","MOAB_001","distributed","shrubScrub",38.257569,-109.413674,"WGS84",20.1,638790.83,4235583.31,"12N",1799.3,0.1,"vst_MOAB_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"N",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"93c24b6e-d66d-43b1-8457-b08f967129f6","MOAB_011.basePlot.vst","2018-09-19","D13","MOAB","MOAB_011","distributed","shrubScrub",38.265110,-109.411809,"WGS84",20.1,638939.64,4236422.92,"12N",1816.2,0.1,"vst_MOAB_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"N",,"Y",,"N",,"10","noneSelected",400,80,400,,,,
"836b6b86-039a-4dd9-b3dc-813c65d57aef","MOAB_009.basePlot.vst","2018-09-19","D13","MOAB","MOAB_009","distributed","shrubScrub",38.258224,-109.423272,"WGS84",20.1,637949.79,4235641.64,"12N",1793.4,0.1,"vst_MOAB_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"N",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"a06a8747-3c64-4587-9f01-a263689157c3","MOAB_015.basePlot.vst","2018-09-19","D13","MOAB","MOAB_015","distributed","shrubScrub",38.254256,-109.427819,"WGS84",20.1,637559.43,4235194.55,"12N",1774.9,0.2,"vst_MOAB_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"N",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"8fd4d0df-3b2c-4a97-8823-a0ec1a5343cb","MOAB_019.basePlot.vst","2018-09-19","D13","MOAB","MOAB_019","distributed","shrubScrub",38.272958,-109.411628,"WGS84",20.1,638940.52,4237294.06,"12N",1821.6,0.1,"vst_MOAB_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"N",,"Y",,"N",,"10","noneSelected",400,80,400,,,,
