uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"39619259-4c63-4e2a-bab8-43426c209d23","STEI_048.basePlot.vst","2018-08-23","D05","STEI","STEI_048","tower","deciduousForest",45.509453,-89.587196,"WGS84",20.2,297905.61,5042802.75,"16N",474.2,0.2,"vst_STEI_2018",,,"21 | 41","NEON.DOC.000987vG",,"Y",,"N",,"N",,"10","noneSelected",800,40,800,,,,
"6cb1ef13-1709-4c68-98f4-f3d1be09e9df","STEI_058.basePlot.vst","2018-08-23","D05","STEI","STEI_058","tower","deciduousForest",45.503506,-89.587322,"WGS84",20.3,297874.47,5042142.39,"16N",473.2,0.8,"vst_STEI_2018",,,"39 | 41","NEON.DOC.000987vG",,"Y",,"Y",,"N",,"10","noneSelected",800,40,800,,,,
"792a88dc-cca0-42e2-b302-01245f851993","STEI_059.basePlot.vst","2018-08-23","D05","STEI","STEI_059","tower","deciduousForest",45.508883,-89.588327,"WGS84",20.2,297815.22,5042742.28,"16N",474.5,0.2,"vst_STEI_2018",,,"21 | 23","NEON.DOC.000987vG",,"Y",,"N",,"N",,"10","noneSelected",800,40,800,,,,
"8449ae44-e2aa-4f0e-955f-d2b87212e8ea","STEI_051.basePlot.vst","2018-08-23","D05","STEI","STEI_051","tower","deciduousForest",45.503823,-89.585001,"WGS84",20.1,298056.93,5042171.76,"16N",470.8,0.2,"vst_STEI_2018",,,"21 | 41","NEON.DOC.000987vG",,"Y",,"Y",,"N",,"10","noneSelected",800,40,800,,"kmcmahon@battelleecology.org","tspadea@battelleecology.org",
"118bf6a1-2df7-4b74-aa79-9394bc2bf300","STEI_052.basePlot.vst","2018-08-24","D05","STEI","STEI_052","tower","deciduousForest",45.505085,-89.588542,"WGS84",20.2,297784.82,5042320.88,"16N",467.4,0.2,"vst_STEI_2018",,,"39 | 41","NEON.DOC.000987vG",,"Y",,"N",,"N",,"10","noneSelected",800,40,800,,,,
"92258685-b9e1-400f-89ad-ca40ca02e340","STEI_050.basePlot.vst","2018-08-24","D05","STEI","STEI_050","tower","deciduousForest",45.508956,-89.584873,"WGS84",20.2,298085.29,5042741.69,"16N",475.6,0.2,"vst_STEI_2018",,,"21 | 23","NEON.DOC.000987vG",,"Y",,"N",,"N",,"10","noneSelected",800,40,800,,,,
"2da1cdc7-9d23-4ed8-8ef0-bf4b963e6bb7","STEI_055.basePlot.vst","2018-08-24","D05","STEI","STEI_055","tower","deciduousForest",45.504019,-89.588862,"WGS84",20.2,297756.01,5042203.26,"16N",467.4,0.2,"vst_STEI_2018",,,"39 | 41","NEON.DOC.000987vG",,"Y",,"Y",,"N",,"10","noneSelected",800,40,800,,,,
"7fa05d9d-19b5-414f-8963-ccbb0577391e","STEI_056.basePlot.vst","2018-08-24","D05","STEI","STEI_056","tower","deciduousForest",45.507520,-89.587891,"WGS84",20.3,297844.40,5042589.76,"16N",475.4,0.3,"vst_STEI_2018",,,"23 | 41","NEON.DOC.000987vG",,"Y",,"N",,"N",,"10","noneSelected",800,40,800,,,,
"596c5d79-529b-4aa6-918b-df64d6b6f1a9","STEI_062.basePlot.vst","2018-08-24","D05","STEI","STEI_062","tower","deciduousForest",45.505974,-89.585482,"WGS84",20.2,298027.05,5042411.94,"16N",472.9,0.3,"vst_STEI_2018",,,"21 | 23","NEON.DOC.000987vG",,"Y",,"N",,"N",,"10","noneSelected",800,40,800,,,,
"8655de9d-3791-4936-8f00-cb55b3cc513a","STEI_057.basePlot.vst","2018-08-24","D05","STEI","STEI_057","tower","deciduousForest",45.507076,-89.584791,"WGS84",20.3,298084.97,5042532.63,"16N",473.2,0.4,"vst_STEI_2018",,,"21 | 41","NEON.DOC.000987vG",,"Y",,"N",,"N",,"10","noneSelected",800,40,800,,,,
