uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"04b0e2ac-713e-4ab4-821a-112f08abcf99","KONZ_044.basePlot.vst","2018-10-15","D06","KONZ","KONZ_044","tower","grasslandHerbaceous",39.098202,-96.564452,"WGS84",10.2,710619.65,4330498.34,"14N",397.2,0.1,"vst_KONZ_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"Y",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"94e20694-6de0-47d6-a8c8-f84a098f420d","KONZ_050.basePlot.vst","2018-10-15","D06","KONZ","KONZ_050","tower","grasslandHerbaceous",39.098781,-96.566169,"WGS84",10.2,710469.43,4330558.62,"14N",389.6,0.2,"vst_KONZ_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"Y",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"147b92af-9beb-4e36-933d-a08edb6dc88a","KONZ_042.basePlot.vst","2018-10-15","D06","KONZ","KONZ_042","tower","grasslandHerbaceous",39.099570,-96.564404,"WGS84",20.2,710619.73,4330650.29,"14N",401.2,0.3,"vst_KONZ_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"Y",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"5fc65d30-4ce5-45a0-965c-9a9ebc1bc8a0","KONZ_068.basePlot.vst","2018-10-15","D06","KONZ","KONZ_068","tower","grasslandHerbaceous",39.100080,-96.564037,"WGS84",10.2,710649.95,4330707.75,"14N",405.7,0.2,"vst_KONZ_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"Y",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"f4653987-38af-4af7-8688-e4efee7237a9","KONZ_051.basePlot.vst","2018-10-15","D06","KONZ","KONZ_051","tower","grasslandHerbaceous",39.099277,-96.565125,"WGS84",10.2,710558.25,4330616.10,"14N",397.9,0.1,"vst_KONZ_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"Y",,"Y",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"0b4c41c5-dd85-442c-8b94-4e8571b6fee4","KONZ_049.basePlot.vst","2018-10-16","D06","KONZ","KONZ_049","tower","grasslandHerbaceous",39.103878,-96.564244,"WGS84",10.2,710620.74,4331128.82,"14N",404.2,0.2,"vst_KONZ_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"N",,"N",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"49a21de2-a4a1-4eec-b270-4d12754dc3a3","KONZ_059.basePlot.vst","2018-10-16","D06","KONZ","KONZ_059","tower","shrubScrub",39.103882,-96.564937,"WGS84",10.1,710560.80,4331127.66,"14N",396.2,0.1,"vst_KONZ_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"N",,"N",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"f1e51f36-a9b1-467d-be63-71db7cde55a4","KONZ_067.basePlot.vst","2018-10-16","D06","KONZ","KONZ_067","tower","shrubScrub",39.103065,-96.564975,"WGS84",10.1,710559.94,4331036.89,"14N",403.4,0.2,"vst_KONZ_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"N",,"N",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"e7e5fee4-0851-4201-beb0-4fed13281915","KONZ_046.basePlot.vst","2018-10-16","D06","KONZ","KONZ_046","tower","shrubScrub",39.103068,-96.563925,"WGS84",20.1,710650.74,4331039.66,"14N",405.7,0.1,"vst_KONZ_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"N",,"N",,"N",,"noneSelected","noneSelected",400,400,400,,,,
"0c7bcb64-6c7b-470a-93e0-25a9eaef67cf","KONZ_063.basePlot.vst","2018-10-16","D06","KONZ","KONZ_063","tower","shrubScrub",39.101971,-96.563630,"WGS84",10.1,710679.52,4330918.58,"14N",409.9,0.2,"vst_KONZ_2018",,,"31 | 32 |  40 | 41","NEON.DOC.000987vG",,"N",,"N",,"N",,"noneSelected","noneSelected",400,400,400,,,,
