uid,namedLocation,date,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,treesPresent,treesAbsentList,shrubsPresent,shrubsAbsentList,lianasPresent,lianasAbsentList,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,remarks,measuredBy,recordedBy,dataQF
"fa48ea45-9979-4c67-a11b-1ec1853cb1bd","STEI_055.basePlot.vst","2019-09-03","D05","STEI","STEI_055","tower","deciduousForest",45.504019,-89.588862,"WGS84",20.2,297756.01,5042203.26,"16N",467.4,0.2,"vst_STEI_2019",,,"39 | 41","NEON.DOC.000987vH","Y","Y",,"Y",,"N",,"10","noneSelected",800,40,,,,,
"c9a013c1-f090-4b5d-9d8a-ab642f21d466","STEI_058.basePlot.vst","2019-09-03","D05","STEI","STEI_058","tower","deciduousForest",45.503506,-89.587322,"WGS84",20.3,297874.47,5042142.39,"16N",473.2,0.8,"vst_STEI_2019",,,"39 | 41","NEON.DOC.000987vH","Y","Y",,"Y",,"N",,"10","noneSelected",800,40,800,,,,
"c974d059-0dc3-4bf6-a280-39291760975c","STEI_052.basePlot.vst","2019-09-04","D05","STEI","STEI_052","tower","deciduousForest",45.505085,-89.588542,"WGS84",20.2,297784.82,5042320.88,"16N",467.4,0.2,"vst_STEI_2019",,,"39 | 41","NEON.DOC.000987vH","Y","Y",,"Y",,"N",,"10","noneSelected",800,40,800,,,,
"9aac422a-8b52-46f5-bfda-ba886188f143","STEI_055.basePlot.vst","2019-09-04","D05","STEI","STEI_055","tower","deciduousForest",45.504019,-89.588862,"WGS84",20.2,297756.01,5042203.26,"16N",467.4,0.2,"vst_STEI_2019",,,"39 | 41","NEON.DOC.000987vH","Y","Y",,"Y",,"N",,"10","noneSelected",800,40,800,,,,
"cfd266a9-725f-42fb-b40b-75d407c00167","STEI_051.basePlot.vst","2019-09-09","D05","STEI","STEI_051","tower","deciduousForest",45.503823,-89.585001,"WGS84",20.1,298056.93,5042171.76,"16N",470.8,0.2,"vst_STEI_2019",,,"21 | 41","NEON.DOC.000987vH","Y","Y",,"Y",,"N",,"10","noneSelected",800,40,800,,,,
"459b2f46-2ef8-4260-8912-9f203b04abc9","STEI_062.basePlot.vst","2019-09-10","D05","STEI","STEI_062","tower","deciduousForest",45.505974,-89.585482,"WGS84",20.2,298027.05,5042411.94,"16N",472.9,0.3,"vst_STEI_2019",,,"21 | 23","NEON.DOC.000987vH","Y","Y",,"Y",,"N",,"10","noneSelected",800,40,800,,,,
"61f8f60c-6416-48c1-a1d7-62c66c12b9b4","STEI_053.basePlot.vst","2019-09-10","D05","STEI","STEI_053","tower","deciduousForest",45.505661,-89.587394,"WGS84",20.2,297876.57,5042381.98,"16N",471.7,0.2,"vst_STEI_2019",,,"23 | 39","NEON.DOC.000987vH","Y","Y",,"Y",,"N",,"10","noneSelected",800,40,800,,,,
"e0e3a689-05ae-42f7-9357-7f26be2186fa","STEI_046.basePlot.vst","2019-09-10","D05","STEI","STEI_046","tower","deciduousForest",45.504592,-89.586589,"WGS84",20.2,297935.62,5042261.19,"16N",470.8,0.3,"vst_STEI_2019",,,"23 | 41","NEON.DOC.000987vH","Y","Y",,"Y",,"N",,"25","noneSelected",800,100,800,,,,
"8ff8c5d4-73d6-48ad-a175-3d0187254c6f","STEI_056.basePlot.vst","2019-09-10","D05","STEI","STEI_056","tower","deciduousForest",45.507520,-89.587891,"WGS84",20.3,297844.40,5042589.76,"16N",475.4,0.3,"vst_STEI_2019",,,"23 | 41","NEON.DOC.000987vH","Y","Y",,"Y",,"N",,"10","noneSelected",800,40,800,,,,
"3bbf40b2-3888-4bdf-99c4-8db9f700c191","STEI_061.basePlot.vst","2019-09-10","D05","STEI","STEI_061","tower","mixedForest",45.505170,-89.584700,"WGS84",20.2,298085.26,5042320.65,"16N",469.7,0.3,"vst_STEI_2019",,,"39 | 41","NEON.DOC.000987vH","Y","Y",,"Y",,"N",,"25","noneSelected",800,100,800,,,,
"2424020d-1c7b-4c06-b494-9ddba07bd880","STEI_060.basePlot.vst","2019-09-16","D05","STEI","STEI_060","tower","deciduousForest",45.506757,-89.587060,"WGS84",20.2,297906.58,5042502.90,"16N",472.4,0.3,"vst_STEI_2019",,,"21 | 41","NEON.DOC.000987vH","Y","Y",,"Y",,"N",,"10","noneSelected",800,40,800,,,,
"c6097308-6fd7-4a4f-b1d9-a01cfc393248","STEI_059.basePlot.vst","2019-09-16","D05","STEI","STEI_059","tower","deciduousForest",45.508883,-89.588327,"WGS84",20.2,297815.22,5042742.28,"16N",474.5,0.2,"vst_STEI_2019",,,"21 | 23","NEON.DOC.000987vH","Y","Y",,"Y",,"N",,"10","noneSelected",800,40,800,,,,
"fc38d30d-6a6a-4ea8-94e3-88c921fdaaaf","STEI_047.basePlot.vst","2019-09-16","D05","STEI","STEI_047","tower","deciduousForest",45.506178,-89.588573,"WGS84",20.3,297786.32,5042442.38,"16N",472.6,0.3,"vst_STEI_2019",,,"21 | 23","NEON.DOC.000987vH","Y","Y",,"Y",,"N",,"10","noneSelected",800,40,800,,,,
"df0d7366-8e80-476e-bce1-142a87314f0e","STEI_054.basePlot.vst","2019-09-16","D05","STEI","STEI_054","tower","deciduousForest",45.509976,-89.585672,"WGS84",20.3,298026.53,5042857.02,"16N",475.5,0.4,"vst_STEI_2019",,,"23 | 41","NEON.DOC.000987vH","Y","Y",,"Y",,"N",,"10","noneSelected",800,40,800,,,,
"bac75fdf-2b9d-4197-b390-28dad7bf94cc","STEI_049.basePlot.vst","2019-09-17","D05","STEI","STEI_049","tower","deciduousForest",45.507857,-89.585575,"WGS84",20.2,298026.52,5042621.36,"16N",475.1,0.2,"vst_STEI_2019",,,"39 | 41","NEON.DOC.000987vH","Y","Y",,"Y",,"N",,"10","noneSelected",800,40,800,,,,
"20224b43-0eba-486c-8621-017013cca1da","STEI_048.basePlot.vst","2019-09-17","D05","STEI","STEI_048","tower","deciduousForest",45.509453,-89.587196,"WGS84",20.2,297905.61,5042802.75,"16N",474.2,0.2,"vst_STEI_2019",,,"21 | 41","NEON.DOC.000987vH","Y","Y",,"Y",,"N",,"10","noneSelected",800,40,800,,,,
"2e0248bc-0d04-46ca-a7de-c153a979276a","STEI_050.basePlot.vst","2019-09-17","D05","STEI","STEI_050","tower","deciduousForest",45.508956,-89.584873,"WGS84",20.2,298085.29,5042741.69,"16N",475.6,0.2,"vst_STEI_2019",,,"21 | 23","NEON.DOC.000987vH","Y","Y",,"Y",,"N",,"10","noneSelected",800,40,800,,,,
"2c436286-bd30-47a8-b03c-7054825c9035","STEI_057.basePlot.vst","2019-09-18","D05","STEI","STEI_057","tower","deciduousForest",45.507076,-89.584791,"WGS84",20.3,298084.97,5042532.63,"16N",473.2,0.4,"vst_STEI_2019",,,"21 | 41","NEON.DOC.000987vH","Y","Y",,"Y",,"N",,"10","noneSelected",800,40,800,,,,
