"","individualID","uid.x","namedLocation.x","date.x","eventID.x","domainID.x","siteID.x","plotID.x","subplotID.x","tempStemID","tagStatus","growthForm","plantStatus","stemDiameter","measurementHeight","changedMeasurementLocation","height","baseCrownHeight","breakHeight","breakDiameter","maxCrownDiameter","ninetyCrownDiameter","canopyPosition","shape","basalStemDiameter","basalStemDiameterMsrmntHeight","maxBaseCrownDiameter","ninetyBaseCrownDiameter","dendrometerInstallationDate","initialGapMeasurementDate","initialBandStemDiameter","initialDendrometerGap","dendrometerHeight","dendrometerGap","dendrometerCondition","bandStemDiameter","remarks.x","recordedBy.x","measuredBy.x","dataQF.x","uid.y","namedLocation.y","date.y","eventID.y","domainID.y","siteID.y","plotID.y","subplotID.y","nestedSubplotID","pointID","stemDistance","stemAzimuth","recordType","supportingStemIndividualID","previouslyTaggedAs","samplingProtocolVersion","taxonID","scientificName","taxonRank","identificationReferences","morphospeciesID","morphospeciesIDRemarks","identificationQualifier","remarks.y","measuredBy.y","recordedBy.y","dataQF.y"
"1","NEON.PLA.D01.HARV.00001","7e79e02c-6606-419c-931a-46842d088d87","HARV_036.basePlot.vst","2019-08-29","vst_HARV_2019","D01","HARV","HARV_036",NA,NA,"ok",NA,"Downed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown cause of death.","0000-0002-9299-545X","0000-0001-6093-9384",NA,"da1ce073-3410-4d8a-8319-5c97940bf754","HARV_036.basePlot.vst","2014-01-21","vst_HARV_2013","D01","HARV","HARV_036","21","4",NA,NA,NA,NA,NA,NA,"NEON.DOC.000987vC","ACPE","Acer pensylvanicum L.","species",NA,NA,NA,NA,NA,"llukas@battelleecology.org","gvanscoy@field-ops.org",NA
"2","NEON.PLA.D01.HARV.00002","f52511c3-5adf-431f-bf75-40a8866cda0b","HARV_036.basePlot.vst","2019-08-29","vst_HARV_2019","D01","HARV","HARV_036",NA,NA,"ok",NA,"Downed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tag marked as CDW.","0000-0002-9299-545X","0000-0001-6093-9384",NA,"5772dd6b-3e74-43fa-9a38-ae94881c6608","HARV_036.basePlot.vst","2014-01-21","vst_HARV_2013","D01","HARV","HARV_036","21","4",NA,NA,NA,NA,NA,NA,"NEON.DOC.000987vC","ACPE","Acer pensylvanicum L.","species",NA,NA,NA,NA,NA,"dcrandall@battelleecology.org","kgodfrey@battelleecology.org",NA
"3","NEON.PLA.D01.HARV.00010","a51aa85f-9484-4d15-9dea-0a568c92b0bd","HARV_036.basePlot.vst","2019-08-29","vst_HARV_2019","D01","HARV","HARV_036",NA,NA,"ok","small tree","Standing dead","3.4","130",NA,"3.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown cause of death.","0000-0002-9299-545X","0000-0001-6093-9384",NA,"d217ced4-2484-4f72-b036-70dcf913f691","HARV_036.basePlot.vst","2014-01-21","vst_HARV_2013","D01","HARV","HARV_036","21","4",NA,NA,NA,NA,NA,NA,"NEON.DOC.000987vC","ACPE","Acer pensylvanicum L.","species",NA,NA,NA,NA,NA,"dcrandall@battelleecology.org","kgodfrey@battelleecology.org",NA
"4","NEON.PLA.D01.HARV.00010","bdabc0e5-5a4a-446d-bbcd-e3b05c0acae7","HARV_036.basePlot.vst","2018-09-12","vst_HARV_2018","D01","HARV","HARV_036",NA,NA,"ok","small tree","Live, physically damaged","3.5","130",NA,"4.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crown is dead","rwilliams@battelleecology.org","llukas@battelleecology.org",NA,"d217ced4-2484-4f72-b036-70dcf913f691","HARV_036.basePlot.vst","2014-01-21","vst_HARV_2013","D01","HARV","HARV_036","21","4",NA,NA,NA,NA,NA,NA,"NEON.DOC.000987vC","ACPE","Acer pensylvanicum L.","species",NA,NA,NA,NA,NA,"dcrandall@battelleecology.org","kgodfrey@battelleecology.org",NA
"5","NEON.PLA.D01.HARV.00011","b92941af-5706-481f-8a84-de44b4105951","HARV_036.basePlot.vst","2018-09-12","vst_HARV_2018","D01","HARV","HARV_036",NA,NA,"ok","small tree","Standing dead","2.5","130",NA,"3.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rwilliams@battelleecology.org","llukas@battelleecology.org",NA,"afe7389a-c056-4124-81f3-2182288c669b","HARV_036.basePlot.vst","2014-01-21","vst_HARV_2013","D01","HARV","HARV_036","21","4",NA,NA,NA,NA,NA,NA,"NEON.DOC.000987vC","ACPE","Acer pensylvanicum L.","species",NA,NA,NA,NA,NA,"dcrandall@battelleecology.org","kgodfrey@battelleecology.org",NA
"6","NEON.PLA.D01.HARV.00011","eb8f0176-1d36-496b-bce8-418016e7f771","HARV_036.basePlot.vst","2019-08-29","vst_HARV_2019","D01","HARV","HARV_036",NA,NA,"ok","small tree","Standing dead","2.6","130",NA,"2.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown cause of death.","0000-0002-9299-545X","0000-0001-6093-9384",NA,"afe7389a-c056-4124-81f3-2182288c669b","HARV_036.basePlot.vst","2014-01-21","vst_HARV_2013","D01","HARV","HARV_036","21","4",NA,NA,NA,NA,NA,NA,"NEON.DOC.000987vC","ACPE","Acer pensylvanicum L.","species",NA,NA,NA,NA,NA,"dcrandall@battelleecology.org","kgodfrey@battelleecology.org",NA
"7","NEON.PLA.D01.HARV.00012","9175da5e-ee48-4709-ab4b-3a450a4d495d","HARV_036.basePlot.vst","2018-09-12","vst_HARV_2018","D01","HARV","HARV_036",NA,NA,"ok","multi-bole tree","Live","190.0","20",NA,"16.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rwilliams@battelleecology.org","llukas@battelleecology.org",NA,"e2bacc0b-703f-49d4-abe4-5217dbf5b131","HARV_036.basePlot.vst","2014-01-21","vst_HARV_2013","D01","HARV","HARV_036","21",NA,"21","22.8","39.2",NA,NA,NA,"NEON.DOC.000987vC","ACPE","Acer pensylvanicum L.","species",NA,NA,NA,NA,NA,"David Crandall",NA,NA
"8","NEON.PLA.D01.HARV.00013","8ae33029-3624-4fba-8e05-cf8fbbea6f1f","HARV_036.basePlot.vst","2019-08-29","vst_HARV_2019","D01","HARV","HARV_036",NA,NA,"ok","sapling","Dead, broken bole",NA,NA,NA,"1.1",NA,"1.1","0.9",NA,NA,NA,NA,"1.3","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown cause of death and break.","0000-0002-9299-545X","0000-0001-6093-9384",NA,"909e538f-f841-498c-b029-113f406b8eca","HARV_036.basePlot.vst","2014-01-21","vst_HARV_2013","D01","HARV","HARV_036","21","4",NA,NA,NA,NA,NA,NA,"NEON.DOC.000987vC","ACPE","Acer pensylvanicum L.","species",NA,NA,NA,NA,NA,"DCrandall@battelleecology.org","kgodfrey@battelleecology.org",NA
"9","NEON.PLA.D01.HARV.00013","073dc2cf-f94d-471c-8124-ce5d6c7f5440","HARV_036.basePlot.vst","2018-09-12","vst_HARV_2018","D01","HARV","HARV_036",NA,NA,"ok","sapling","Dead, broken bole",NA,NA,NA,"1.1",NA,"1.0","0.8",NA,NA,NA,NA,"1.2","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rwilliams@battelleecology.org","llukas@battelleecology.org",NA,"909e538f-f841-498c-b029-113f406b8eca","HARV_036.basePlot.vst","2014-01-21","vst_HARV_2013","D01","HARV","HARV_036","21","4",NA,NA,NA,NA,NA,NA,"NEON.DOC.000987vC","ACPE","Acer pensylvanicum L.","species",NA,NA,NA,NA,NA,"DCrandall@battelleecology.org","kgodfrey@battelleecology.org",NA
"10","NEON.PLA.D01.HARV.00018","66524ade-f32d-448d-878f-b3290373f512","HARV_036.basePlot.vst","2019-08-29","vst_HARV_2019","D01","HARV","HARV_036",NA,NA,"ok","multi-bole tree","Live","44.1","130",NA,"26.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Primary of 2 boles.","0000-0002-9299-545X","0000-0001-6093-9384",NA,"6d0d5cbb-55d0-45cb-8a78-2f502b429d3b","HARV_036.basePlot.vst","2014-01-21","vst_HARV_2013","D01","HARV","HARV_036","21","4","41","3.1","226.2",NA,NA,NA,"NEON.DOC.000987vC","PRSES","Prunus serotina Ehrh. var. serotina","variety",NA,NA,NA,NA,NA,"dcrandall@battelleecology.org","kgodfrey@battelleecology.org",NA
